model_key,label,precision,recall,f1,balanced_accuracy,hamming_loss,kappa,tp,tn,fp,fn,total_pos,total_neg
mlp_weighted,Valence,0.2222222222222222,0.1,0.13793103448275862,0.5039473684210527,0.2604166666666667,0.00990099009900991,4,138,14,36,40,152
mlp_weighted,Arousal,0.0,0.0,0.0,0.4900662251655629,0.22916666666666666,-0.029992684711046103,0,148,3,41,41,151
mlp_weighted,Dominance,0.7391304347826086,0.13934426229508196,0.23448275862068965,0.5268149882903981,0.578125,0.04120928558574777,17,64,6,105,122,70
mlp_weighted,Liking,0.7142857142857143,0.0390625,0.07407407407407407,0.50390625,0.6510416666666666,0.0053050397877982824,5,62,2,123,128,64
mlp_unweighted,Valence,0.0,0.0,0.0,0.4868421052631579,0.22916666666666666,-0.03937007874015763,0,148,4,40,40,152
mlp_unweighted,Arousal,0.0,0.0,0.0,0.5,0.21354166666666666,0.0,0,151,0,41,41,151
mlp_unweighted,Dominance,0.6666666666666666,0.4918032786885246,0.5660377358490566,0.5316159250585479,0.4791666666666667,0.057618437900127994,60,40,30,62,122,70
mlp_unweighted,Liking,0.7033898305084746,0.6484375,0.6747967479674797,0.55078125,0.4166666666666667,0.09774436090225569,83,29,35,45,128,64
xgb_weighted,Valence,0.24444444444444444,0.275,0.25882352941176473,0.5256578947368421,0.328125,0.049056603773584895,11,118,34,29,40,152
xgb_weighted,Arousal,0.3829787234042553,0.43902439024390244,0.4090909090909091,0.6234857050557261,0.2708333333333333,0.23447324030056738,18,122,29,23,41,151
xgb_weighted,Dominance,0.6833333333333333,0.6721311475409836,0.6776859504132231,0.5646370023419204,0.40625,0.12849162011173187,82,32,38,40,122,70
xgb_weighted,Liking,0.728,0.7109375,0.7193675889328063,0.58984375,0.3697916666666667,0.17760617760617758,91,30,34,37,128,64
xgb_unweighted,Valence,0.23076923076923078,0.075,0.11320754716981132,0.5046052631578948,0.24479166666666666,0.012259194395796702,3,142,10,37,40,152
xgb_unweighted,Arousal,0.6666666666666666,0.14634146341463414,0.24,0.56323695687288,0.19791666666666666,0.1767095463777928,6,148,3,35,41,151
xgb_unweighted,Dominance,0.6573426573426573,0.7704918032786885,0.7094339622641509,0.5352459016393443,0.4010416666666667,0.07530647985989491,94,21,49,28,122,70
xgb_unweighted,Liking,0.6851851851851852,0.8671875,0.7655172413793103,0.53515625,0.3541666666666667,0.08108108108108103,111,13,51,17,128,64
random_forest_weighted,Valence,0.3333333333333333,0.1,0.15384615384615385,0.5236842105263158,0.22916666666666666,0.06382978723404253,4,144,8,36,40,152
random_forest_weighted,Arousal,0.8,0.0975609756097561,0.17391304347826086,0.5454692295267324,0.19791666666666666,0.1336974590358584,4,150,1,37,41,151
random_forest_weighted,Dominance,0.6944444444444444,0.819672131147541,0.7518796992481203,0.5955503512880562,0.34375,0.20481927710843373,100,26,44,22,122,70
random_forest_weighted,Liking,0.6867469879518072,0.890625,0.7755102040816326,0.5390625,0.34375,0.09174311926605505,114,12,52,14,128,64
random_forest_unweighted,Valence,0.42857142857142855,0.15,0.2222222222222222,0.5486842105263158,0.21875,0.12802768166089973,6,144,8,34,40,152
random_forest_unweighted,Arousal,0.7857142857142857,0.2682926829268293,0.4,0.6242125666289775,0.171875,0.3268168295792605,11,148,3,30,41,151
random_forest_unweighted,Dominance,0.678082191780822,0.8114754098360656,0.7388059701492538,0.5700234192037471,0.3645833333333333,0.1510864072764022,99,23,47,23,122,70
random_forest_unweighted,Liking,0.7048192771084337,0.9140625,0.7959183673469388,0.57421875,0.3125,0.17431192660550465,117,15,49,11,128,64
